Date,year,Quarter,Month,Product_id,Product_name,Category,Region,Sales_units,Sales_amount,Revenue,Cost,Expenses,Profit,Profit_margin,Customer_count,New_customers,Repeat_customer,Ave_order_value,Discount_Amount,profit,profit_margin
2019-10-30,2019,Q4,Oct,P1002,Laptop,Electronics,South,295,435420,446025,258073.1,77204.99,110746.9,24.83,3728,2164,1564,119.64,2960,110746.90999999999,24.829753937559552
2020-04-04,2020,Q2,Apr,P1003,Tablet,Electronics,North,559,924027,946075,530573.8,95485.54,320015.7,33.83,3670,1582,2088,257.79,4186,320015.66,33.825612134344524
2019-03-07,2019,Q1,Mar,P1004,Headphones,Accessories,South,184,167624,183762,102286.7,39815.7,41659.56,22.67,2098,532,1566,87.59,6493,41659.600000000006,22.670410639849372
2024-11-10,2024,Q4,Nov,P1001,Mobile,Electronics,West,687,681504,687023,449062.0,138893.9,99067.12,14.42,709,390,319,969.0,4857,99067.1,14.419764694922879
2022-10-27,2022,Q4,Oct,P1001,Mobile,Electronics,West,601,1176157,1200968,811592.3,126774.0,262601.7,21.87,3859,1209,2650,311.21,3945,262601.69999999995,21.865836558509464
2023-12-16,2023,Q4,Dec,P1001,Mobile,Electronics,South,674,862720,882059,544070.1,188939.3,149049.6,16.9,3063,1750,1313,287.97,4580,149049.60000000003,16.897917259503053
2024-03-22,2024,Q1,Mar,P1005,Smartwatch,Accessories,North,351,600561,611138,364833.5,91825.3,154479.3,25.28,2319,621,1698,263.54,3313,154479.2,25.277302344151405
2024-06-08,2024,Q2,Jun,P1001,Mobile,Electronics,East,286,526812,550336,359152.1,66184.06,124999.8,22.71,1058,588,470,520.17,391,124999.84000000003,22.71336783346901
2022-08-22,2022,Q3,Aug,P1005,Smartwatch,Accessories,South,144,216720,226937,147717.5,19414.01,59805.54,26.35,1116,360,756,203.35,2897,59805.490000000005,26.353344760880777
2020-10-13,2020,Q4,Oct,P1005,Smartwatch,Accessories,North,238,427448,452140,317517.0,65433.08,69189.93,15.3,2501,634,1867,180.78,2804,69189.92,15.302764630424203
2024-12-27,2024,Q4,Dec,P1004,Headphones,Accessories,West,341,454894,477553,309798.1,57550.96,110203.9,23.08,3082,811,2271,154.95,2110,110203.94000000003,23.0767977585734
2022-12-28,2022,Q4,Dec,P1003,Tablet,Electronics,West,624,1128816,1150376,650826.0,193968.9,305581.1,26.56,1298,465,833,886.27,637,305581.1,26.56358442804787
2022-02-19,2022,Q1,Feb,P1001,Mobile,Electronics,South,763,1603826,1611092,895761.5,298845.6,416484.9,25.85,3306,1500,1806,487.32,1244,416484.9,25.851093544006176
2021-01-14,2021,Q1,Jan,P1003,Tablet,Electronics,East,747,1372239,1383435,800795.3,179405.1,403234.7,29.15,1788,995,793,773.73,1365,403234.6,29.147347002208267
2023-09-17,2023,Q3,Sep,P1003,Tablet,Electronics,North,749,718291,723650,428161.0,156002.9,139486.1,19.28,3908,2213,1695,185.17,3007,139486.1,19.275354107648727
2021-06-27,2021,Q2,Jun,P1001,Mobile,Electronics,West,578,862376,872305,486169.5,183475.1,202660.4,23.23,3040,1492,1548,286.94,3888,202660.4,23.232745427344792
2019-08-12,2019,Q3,Aug,P1003,Tablet,Electronics,North,298,508686,525926,303671.8,45958.47,176295.8,33.52,3734,1190,2544,140.85,6403,176295.73,33.52101436323742
2023-10-23,2023,Q4,Oct,P1002,Laptop,Electronics,North,274,568276,579090,341743.6,102957.1,134389.4,23.21,1253,751,502,462.16,6444,134389.30000000002,23.206979916765963
2019-03-05,2019,Q1,Mar,P1005,Smartwatch,Accessories,South,213,237282,248537,141313.1,44101.4,63122.46,25.4,1185,336,849,209.74,5320,63122.49999999999,25.397626912693077
2023-03-14,2023,Q1,Mar,P1002,Laptop,Electronics,East,722,714780,723021,404437.6,98096.09,220487.4,30.5,395,164,231,1830.43,4570,220487.31000000003,30.495284369333675
2022-01-12,2022,Q1,Jan,P1005,Smartwatch,Accessories,North,332,649060,668724,427402.6,57152.26,184169.2,27.54,2453,1255,1198,272.61,4951,184169.14,27.540381383051905
2021-06-10,2021,Q2,Jun,P1002,Laptop,Electronics,South,641,1223669,1242094,884330.9,183920.2,173843.0,14.0,2305,1176,1129,538.87,6213,173842.89999999997,13.995953607375927
2023-07-01,2023,Q3,Jul,P1003,Tablet,Electronics,East,373,587475,602644,407333.1,50596.7,144714.2,24.01,2138,755,1383,281.87,382,144714.2,24.013215098797964
2020-07-04,2020,Q3,Jul,P1003,Tablet,Electronics,East,726,887172,900675,619055.5,134739.2,146880.3,16.31,304,161,143,2962.75,835,146880.3,16.307802481472226
2023-12-21,2023,Q4,Dec,P1002,Laptop,Electronics,North,655,1130530,1152742,711000.5,228152.3,213589.2,18.53,3095,1071,2024,372.45,5763,213589.2,18.528794821391084
2022-12-03,2022,Q4,Dec,P1005,Smartwatch,Accessories,South,157,265801,280629,176810.6,60544.48,43273.95,15.42,2044,1199,845,137.29,743,43273.91999999999,15.420330756978071
2019-07-15,2019,Q3,Jul,P1003,Tablet,Electronics,East,442,612170,620795,423816.0,113092.3,83886.7,13.51,1395,696,699,445.01,5162,83886.7,13.512786024371975
2021-04-12,2021,Q2,Apr,P1001,Mobile,Electronics,West,102,196248,211876,127199.7,17815.35,66860.98,31.56,2298,877,1421,92.2,3488,66860.95000000001,31.55664162057053
2021-01-14,2021,Q1,Jan,P1004,Headphones,Accessories,West,233,291716,300555,193763.9,64280.15,42510.96,14.14,717,417,300,419.18,3591,42510.950000000004,14.144149989186673
2019-11-12,2019,Q4,Nov,P1002,Laptop,Electronics,East,539,913066,936613,542102.0,118486.1,276024.9,29.47,386,220,166,2426.46,3409,276024.9,29.47053905935536
2023-02-20,2023,Q1,Feb,P1002,Laptop,Electronics,West,534,899790,923472,550487.4,115335.4,257649.3,27.9,3781,1538,2243,244.24,852,257649.19999999998,27.900055442937088
2022-03-25,2022,Q1,Mar,P1001,Mobile,Electronics,North,411,739800,755093,456939.5,67851.25,230302.3,30.5,1176,383,793,642.09,6210,230302.25,30.49985233606986
2020-07-24,2020,Q3,Jul,P1004,Headphones,Accessories,North,176,210320,214643,141630.4,28787.77,44224.83,20.6,2982,1178,1804,71.98,1657,44224.83,20.603900430016353
2019-03-29,2019,Q1,Mar,P1005,Smartwatch,Accessories,East,69,148557,155821,99642.01,20479.52,35699.47,22.91,368,202,166,423.43,2992,35699.47,22.910564044640967
2024-12-21,2024,Q4,Dec,P1001,Mobile,Electronics,East,451,444235,457220,258381.5,61879.6,136958.9,29.95,1859,561,1298,245.95,6083,136958.9,29.954704518612484
2021-04-26,2021,Q2,Apr,P1005,Smartwatch,Accessories,North,554,762304,772037,437418.8,72703.21,261915.0,33.93,2943,798,2145,262.33,3541,261914.99,33.92518622812119
2023-11-06,2023,Q4,Nov,P1005,Smartwatch,Accessories,West,459,684369,698905,416740.1,113013.5,169151.4,24.2,2730,857,1873,256.01,4887,169151.40000000002,24.202345096973126
2024-09-05,2024,Q3,Sep,P1004,Headphones,Accessories,North,50,88650,99426,57204.1,14844.8,27377.1,27.54,1057,407,650,94.06,3149,27377.100000000002,27.5351517711665
2020-03-06,2020,Q1,Mar,P1004,Headphones,Accessories,East,545,1114525,1130110,788489.6,110830.2,230790.2,20.42,3845,1800,2045,293.92,2187,230790.2,20.42192352956792
2021-07-10,2021,Q3,Jul,P1002,Laptop,Electronics,East,440,783200,798213,549236.1,135248.9,113728.0,14.25,2322,1339,983,343.76,688,113728.00000000003,14.247826081509576
2020-08-15,2020,Q3,Aug,P1001,Mobile,Electronics,North,729,1316574,1325150,819543.6,168324.0,337282.4,25.45,2857,1332,1525,463.83,5861,337282.4,25.452394068596007
2019-10-17,2019,Q4,Oct,P1001,Mobile,Electronics,East,515,703490,716977,459760.9,140132.1,117084.0,16.33,1888,715,1173,379.75,2264,117083.99999999997,16.330230955804716
2022-10-20,2022,Q4,Oct,P1001,Mobile,Electronics,North,591,1107534,1131411,793936.1,102204.4,235270.5,20.79,585,303,282,1934.04,3118,235270.50000000003,20.79443279232746
2020-09-26,2020,Q3,Sep,P1003,Tablet,Electronics,East,70,86030,107653,74310.16,16100.18,17242.66,16.02,2810,1598,1212,38.31,1393,17242.659999999996,16.0168875925427
2023-08-15,2023,Q3,Aug,P1002,Laptop,Electronics,East,392,672280,692402,395944.6,125056.0,171401.4,24.75,3105,1047,2058,223.0,610,171401.40000000002,24.7546078723054
2019-11-18,2019,Q4,Nov,P1001,Mobile,Electronics,East,161,281750,298150,169705.2,47394.08,81050.72,27.18,2400,704,1696,124.23,5422,81050.71999999999,27.184544692268986
2020-10-27,2020,Q4,Oct,P1002,Laptop,Electronics,North,702,1272726,1287509,824358.3,233314.8,229835.9,17.85,3579,1971,1608,359.74,2662,229835.89999999997,17.851207253696867
2019-07-09,2019,Q3,Jul,P1001,Mobile,Electronics,West,648,1251288,1260566,700319.1,240806.8,319440.2,25.34,554,176,378,2275.39,2068,319440.10000000003,25.34100554830132
2021-07-14,2021,Q3,Jul,P1001,Mobile,Electronics,South,629,795685,800955,449709.8,112907.5,238337.8,29.76,453,254,199,1768.11,3667,238337.7,29.756690450774386
2021-08-18,2021,Q3,Aug,P1001,Mobile,Electronics,South,175,212975,223446,142141.0,28988.64,52316.35,23.41,2603,1514,1089,85.84,1397,52316.36,23.413424272531174
2020-09-25,2020,Q3,Sep,P1002,Laptop,Electronics,South,56,87080,95670,52621.51,18469.76,24578.73,25.69,3160,1443,1717,30.28,4217,24578.73,25.69115710253998
2021-01-28,2021,Q1,Jan,P1004,Headphones,Accessories,East,61,54961,79071,43911.97,9913.84,25245.19,31.93,1912,1072,840,41.36,3378,25245.19,31.92724260474763
2021-10-16,2021,Q4,Oct,P1003,Tablet,Electronics,South,84,135408,158792,99992.53,15060.2,43739.28,27.55,1024,276,748,155.07,2917,43739.270000000004,27.54500856466321
2022-11-12,2022,Q4,Nov,P1003,Tablet,Electronics,West,274,329896,342563,224471.3,40110.18,77981.56,22.76,3230,1155,2075,106.06,6044,77981.52000000002,22.76413973488089
2020-09-23,2020,Q3,Sep,P1005,Smartwatch,Accessories,North,614,1169056,1173907,760025.5,134538.2,279343.3,23.8,3795,1622,2173,309.33,1761,279343.3,23.79603324624523
2021-01-17,2021,Q1,Jan,P1001,Mobile,Electronics,West,578,768162,787283,517231.6,77191.24,192860.2,24.5,3944,2199,1745,199.62,1003,192860.16000000003,24.496929312585188
2022-03-01,2022,Q1,Feb,P1002,Laptop,Electronics,South,142,301040,315337,175272.1,56144.2,83920.75,26.61,1886,887,999,167.2,1832,83920.7,26.61302035600009
2023-09-10,2023,Q3,Sep,P1004,Headphones,Accessories,South,705,970080,980866,669917.8,155353.7,155594.6,15.86,3029,1520,1509,323.83,6688,155594.49999999994,15.8629721083206
2020-07-03,2020,Q3,Jul,P1001,Mobile,Electronics,West,101,98374,111460,61775.64,14213.77,35470.59,31.82,757,418,339,147.24,3825,35470.59,31.823604880674676
2023-05-08,2023,Q2,May,P1001,Mobile,Electronics,South,573,894453,909746,524897.8,153493.9,231354.3,25.43,3011,1070,1941,302.14,1600,231354.29999999996,25.430647675285183
2023-03-31,2023,Q1,Mar,P1001,Mobile,Electronics,West,574,1199660,1220825,699983.3,152694.6,368147.1,30.16,156,86,70,7825.8,338,368147.1,30.155599696926256
2019-05-22,2019,Q2,May,P1001,Mobile,Electronics,East,235,289285,303945,194152.4,53499.06,56293.53,18.52,2272,894,1378,133.78,468,56293.54000000001,18.520962674168025
2021-12-26,2021,Q4,Dec,P1001,Mobile,Electronics,North,719,921758,942801,561521.2,170500.3,210779.6,22.36,1106,584,522,852.44,4258,210779.50000000006,22.356732756965688
2023-12-23,2023,Q4,Dec,P1003,Tablet,Electronics,East,699,1049199,1057021,649875.4,208167.6,198977.9,18.82,940,258,682,1124.49,2433,198977.99999999997,18.82441313843339
2020-12-17,2020,Q4,Dec,P1004,Headphones,Accessories,West,534,626916,650147,458338.8,103859.0,87949.2,13.53,768,288,480,846.55,4795,87949.20000000001,13.527586838053548
2022-10-05,2022,Q4,Oct,P1001,Mobile,Electronics,South,200,320600,327323,196394.1,59627.59,71301.29,21.78,2057,853,1204,159.13,2912,71301.31,21.78316525267091
2021-12-16,2021,Q4,Dec,P1002,Laptop,Electronics,West,62,87296,95483,62624.7,16622.65,16235.65,17.0,3748,1877,1871,25.48,1780,16235.650000000001,17.00370746625054
2019-07-11,2019,Q3,Jul,P1005,Smartwatch,Accessories,North,376,468120,490747,333433.2,45106.62,112207.2,22.86,3358,1934,1424,146.14,6683,112207.18,22.864567689664938
2019-01-19,2019,Q1,Jan,P1004,Headphones,Accessories,North,142,305158,324018,204952.4,45025.11,74040.53,22.85,3287,1090,2197,98.58,6485,74040.49,22.850733601219687
2023-02-24,2023,Q1,Feb,P1005,Smartwatch,Accessories,South,174,356178,370812,215288.8,66116.27,89406.93,24.11,3689,1087,2602,100.52,2396,89406.93000000001,24.111120999320413
2024-12-29,2024,Q4,Dec,P1005,Smartwatch,Accessories,East,164,181712,200232,143943.6,39471.71,16816.74,8.4,359,195,164,557.75,927,16816.689999999995,8.398602620959684
2019-04-15,2019,Q2,Apr,P1005,Smartwatch,Accessories,South,188,329188,350129,244455.0,48840.6,56833.37,16.23,927,524,403,377.7,5029,56833.4,16.232131585786952
2019-01-28,2019,Q1,Jan,P1005,Smartwatch,Accessories,North,644,1373652,1385045,832267.5,252872.8,299904.7,21.65,709,382,327,1953.52,3914,299904.7,21.653065423867098
2020-05-19,2020,Q2,May,P1001,Mobile,Electronics,South,552,1000224,1010704,560938.9,103540.8,346224.3,34.26,3306,1152,2154,305.72,2298,346224.3,34.25575638366921
2023-07-10,2023,Q3,Jul,P1005,Smartwatch,Accessories,South,726,1431672,1447890,955142.1,191010.2,301737.7,20.84,1409,485,924,1027.6,1645,301737.7,20.839822085931946
2020-10-21,2020,Q4,Oct,P1004,Headphones,Accessories,West,342,702810,709514,465845.3,149583.1,94085.64,13.26,230,101,129,3084.84,2332,94085.6,13.260569911235015
2024-08-13,2024,Q3,Aug,P1001,Mobile,Electronics,South,290,634810,639622,372872.2,73740.43,193009.4,30.18,1754,1022,732,364.66,6404,193009.37,30.175536488738658
2024-03-19,2024,Q1,Mar,P1001,Mobile,Electronics,East,192,417984,438584,260466.6,76381.3,101736.1,23.2,272,123,149,1612.44,6643,101736.09999999999,23.196491436076098
2022-03-17,2022,Q1,Mar,P1004,Headphones,Accessories,South,221,463879,469551,307905.4,89050.64,72594.94,15.46,3819,1942,1877,122.95,1890,72594.95999999998,15.46050588753937
2024-10-31,2024,Q4,Oct,P1002,Laptop,Electronics,East,574,1202530,1209775,734712.4,205483.6,269579.0,22.28,3472,1842,1630,348.44,881,269579.0,22.283399805749003
2024-09-28,2024,Q3,Sep,P1005,Smartwatch,Accessories,North,378,466452,478193,343508.7,90761.33,43923.01,9.19,2998,1065,1933,159.5,6603,43922.96999999999,9.185197190255815
2019-01-30,2019,Q1,Jan,P1004,Headphones,Accessories,South,538,971628,976516,568357.9,127191.7,280966.4,28.77,2364,622,1742,413.08,1711,280966.39999999997,28.772329383235906
2020-08-09,2020,Q3,Aug,P1001,Mobile,Electronics,South,717,1269090,1276323,724049.2,159998.0,392275.9,30.73,408,207,201,3128.24,561,392275.80000000005,30.73483749803146
2022-07-23,2022,Q3,Jul,P1005,Smartwatch,Accessories,West,736,1084128,1099142,754223.5,166734.6,178183.9,16.21,3898,1040,2858,281.98,2969,178183.9,16.211181084882572
2022-07-07,2022,Q3,Jul,P1001,Mobile,Electronics,North,613,1327758,1333151,901169.3,185344.0,246637.8,18.5,270,93,177,4937.6,5180,246637.69999999995,18.500357423877713
2019-03-20,2019,Q1,Mar,P1005,Smartwatch,Accessories,West,295,424210,438895,246189.4,38263.83,154441.8,35.19,2924,1616,1308,150.1,3019,154441.77000000002,35.188774080360915
2020-05-14,2020,Q2,May,P1001,Mobile,Electronics,North,131,242743,251016,151994.5,39347.56,59673.93,23.77,947,441,506,265.06,703,59673.94,23.772962679669824
2023-06-12,2023,Q2,Jun,P1005,Smartwatch,Accessories,West,662,784470,800495,537928.8,172505.1,90061.13,11.25,1988,935,1053,402.66,1263,90061.09999999995,11.25067614413581
2019-09-07,2019,Q3,Sep,P1004,Headphones,Accessories,South,736,1568416,1577816,975000.6,152732.3,450083.1,28.53,1720,846,874,917.33,1888,450083.10000000003,28.52570261678168
2022-11-05,2022,Q4,Nov,P1004,Headphones,Accessories,South,456,585960,594885,406341.2,121512.5,67031.3,11.27,2852,1181,1671,208.59,3903,67031.29999999999,11.267942543516812
2022-10-23,2022,Q4,Oct,P1004,Headphones,Accessories,South,63,71694,96027,66207.63,16878.8,12940.57,13.48,1073,494,579,89.49,1252,12940.569999999996,13.475970300019782
2023-04-30,2023,Q2,Apr,P1001,Mobile,Electronics,West,130,190580,206708,145484.3,23123.59,38100.11,18.43,3613,1876,1737,57.21,602,38100.110000000015,18.431850726628877
2024-09-12,2024,Q3,Sep,P1001,Mobile,Electronics,South,453,823101,834344,520319.9,173813.9,140210.2,16.8,987,413,574,845.33,5686,140210.19999999998,16.804843086304928
2024-07-18,2024,Q3,Jul,P1004,Headphones,Accessories,South,172,178708,191972,108921.0,27006.92,56044.06,29.19,2387,849,1538,80.42,4181,56044.08,29.193882441189338
2019-12-27,2019,Q4,Dec,P1005,Smartwatch,Accessories,East,342,408348,418311,231815.0,38492.15,148003.8,35.38,1872,799,1073,223.46,6368,148003.85,35.38129525640014
2020-03-05,2020,Q1,Mar,P1005,Smartwatch,Accessories,South,328,374904,394457,268811.8,59237.01,66408.18,16.84,2607,1402,1205,151.31,2817,66408.19,16.83534326935509
2024-10-14,2024,Q4,Oct,P1003,Tablet,Electronics,South,388,568420,586116,365744.4,120330.3,100041.3,17.07,2846,1293,1553,205.94,5007,100041.29999999997,17.068515447454082
2020-11-19,2020,Q4,Nov,P1001,Mobile,Electronics,South,498,577680,589296,409868.0,64422.67,115005.4,19.52,1289,383,906,457.17,1708,115005.33,19.515715362059137
2019-10-12,2019,Q4,Oct,P1001,Mobile,Electronics,South,468,570492,582479,324160.2,58914.55,199404.3,34.23,927,247,680,628.35,1617,199404.25,34.2337234475406
2019-12-18,2019,Q4,Dec,P1004,Headphones,Accessories,West,621,814131,819641,485609.8,86556.35,247474.9,30.19,3881,1180,2701,211.19,2486,247474.85,30.19307843311889
2022-07-31,2022,Q3,Jul,P1005,Smartwatch,Accessories,West,740,856920,877396,589161.2,74913.9,213320.9,24.31,2342,880,1462,374.64,2782,213320.90000000005,24.31295560955373
2019-03-17,2019,Q1,Mar,P1001,Mobile,Electronics,West,703,634809,644872,357486.2,139197.1,148188.7,22.98,1032,346,686,624.88,5801,148188.69999999998,22.979552531355058
2020-10-25,2020,Q4,Oct,P1004,Headphones,Accessories,West,264,506352,516855,311584.3,57411.65,147859.0,28.61,2276,871,1405,227.09,1011,147859.05000000002,28.60745276721711
2020-09-06,2020,Q3,Sep,P1002,Laptop,Electronics,East,249,470112,481434,275277.2,55256.71,150900.1,31.34,1025,281,744,469.69,6294,150900.09,31.343878911751144
2021-01-08,2021,Q1,Jan,P1001,Mobile,Electronics,North,634,661896,681108,450287.5,145623.8,85196.77,12.51,1222,720,502,557.37,3647,85196.70000000001,12.508544900368227
2024-08-14,2024,Q3,Aug,P1003,Tablet,Electronics,North,516,645516,655941,451742.5,54478.42,149720.1,22.83,3247,1287,1960,202.01,6770,149720.08000000002,22.825235806269166
2023-01-28,2023,Q1,Jan,P1001,Mobile,Electronics,East,741,816582,829744,553558.2,174994.4,101191.4,12.2,3509,1960,1549,236.46,4320,101191.40000000005,12.195496442276179
2021-09-21,2021,Q3,Sep,P1002,Laptop,Electronics,South,305,669780,693859,451663.8,119079.1,123116.1,17.74,1396,665,731,497.03,2113,123116.1,17.743677029482935
2020-01-10,2020,Q1,Jan,P1004,Headphones,Accessories,South,386,783194,808031,516643.9,69396.11,221991.0,27.47,314,110,204,2573.35,611,221990.99,27.473078384368915
2019-06-01,2019,Q2,Jun,P1003,Tablet,Electronics,South,720,676800,686541,476085.4,80484.22,129971.4,18.93,2036,699,1337,337.2,3702,129971.37999999998,18.93133549198081
2022-04-05,2022,Q2,Apr,P1003,Tablet,Electronics,South,665,1163085,1173228,708430.7,99651.0,365146.3,31.12,947,363,584,1238.89,2330,365146.30000000005,31.123217311554107
2020-07-14,2020,Q3,Jul,P1003,Tablet,Electronics,South,464,893200,915363,637532.7,170112.4,107717.9,11.77,3961,2197,1764,231.09,6020,107717.90000000005,11.767779558492101
2020-12-08,2020,Q4,Dec,P1004,Headphones,Accessories,West,513,989064,1003846,657516.8,186370.8,159958.5,15.93,266,80,186,3773.86,4743,159958.39999999997,15.934555698782479
2020-03-09,2020,Q1,Mar,P1005,Smartwatch,Accessories,North,571,809678,818521,534912.0,96211.45,187397.6,22.89,2546,1421,1125,321.49,2996,187397.55,22.894653894035706
2023-11-15,2023,Q4,Nov,P1002,Laptop,Electronics,South,518,1118362,1138544,713071.6,242294.9,183177.6,16.09,3728,1025,2703,305.4,3395,183177.50000000003,16.088750193229252
2020-03-06,2020,Q1,Mar,P1001,Mobile,Electronics,North,494,631826,651724,426720.7,97810.68,127192.6,19.52,2309,628,1681,282.25,2484,127192.62,19.516332066948586
2020-06-19,2020,Q2,Jun,P1001,Mobile,Electronics,North,573,741462,761992,514075.4,117241.0,130675.6,17.15,2281,1268,1013,334.06,5308,130675.59999999998,17.149208915579166
2019-05-10,2019,Q2,May,P1003,Tablet,Electronics,North,633,1097622,1103734,645940.9,128507.6,329285.6,29.83,1993,827,1166,553.81,5088,329285.5,29.83377335481194
2019-04-26,2019,Q2,Apr,P1001,Mobile,Electronics,North,788,821884,841101,605260.3,118275.4,117565.3,13.98,1483,379,1104,567.16,725,117565.29999999996,13.977548475153394
2020-08-13,2020,Q3,Aug,P1005,Smartwatch,Accessories,East,270,371790,385864,212988.1,59076.94,113799.0,29.49,931,353,578,414.46,4226,113798.95999999999,29.491986814007003
2021-07-23,2021,Q3,Jul,P1003,Tablet,Electronics,North,719,886527,905522,609020.5,167834.6,128666.9,14.21,627,308,319,1444.21,4764,128666.9,14.20914124670632
2021-12-17,2021,Q4,Dec,P1001,Mobile,Electronics,North,657,646488,665283,472188.2,77759.13,115335.6,17.34,2360,730,1630,281.9,801,115335.66999999998,17.336332057184684
2020-10-24,2020,Q4,Oct,P1005,Smartwatch,Accessories,North,541,933766,944524,583868.1,190695.2,169960.7,17.99,881,484,397,1072.1,653,169960.7,17.994323066433466
2022-09-01,2022,Q3,Sep,P1002,Laptop,Electronics,East,356,737988,748994,445289.7,124060.4,179643.9,23.98,3117,1431,1686,240.29,3802,179643.9,23.984691466153265
2019-10-28,2019,Q4,Oct,P1005,Smartwatch,Accessories,East,87,161124,171456,108396.2,16304.76,46755.08,27.27,2187,724,1463,78.4,6200,46755.04,27.2694102276969
2021-11-12,2021,Q4,Nov,P1002,Laptop,Electronics,West,754,1060878,1072154,717714.6,100369.8,254069.5,23.7,2561,963,1598,418.65,6948,254069.60000000003,23.69711813787945
2019-06-02,2019,Q2,Jun,P1003,Tablet,Electronics,West,71,96418,107922,67696.43,18838.33,21387.24,19.82,3347,1372,1975,32.24,4204,21387.240000000005,19.81731250347474
2019-07-20,2019,Q3,Jul,P1003,Tablet,Electronics,East,324,332748,347339,241557.5,53613.99,52167.48,15.02,1063,620,443,326.75,4526,52167.51,15.019191625472523
2020-03-11,2020,Q1,Mar,P1005,Smartwatch,Accessories,East,218,458890,464716,333705.8,95671.06,35339.13,7.6,2818,1158,1660,164.91,4503,35339.140000000014,7.604459497843847
2024-07-26,2024,Q3,Jul,P1002,Laptop,Electronics,South,408,487152,494919,332135.4,82514.87,80268.75,16.22,2427,1212,1215,203.92,1614,80268.72999999998,16.21855899652266
2019-09-05,2019,Q3,Sep,P1004,Headphones,Accessories,West,732,1116300,1126824,780344.2,159799.4,186680.4,16.57,1583,798,785,711.83,3428,186680.40000000005,16.56695278055846
2024-10-22,2024,Q4,Oct,P1004,Headphones,Accessories,East,722,769652,787388,504438.5,166175.0,116774.5,14.83,3866,1104,2762,203.67,5397,116774.5,14.83061717984018
2020-09-24,2020,Q3,Sep,P1002,Laptop,Electronics,North,593,986752,1002604,640193.6,188468.4,173942.0,17.35,1214,531,683,825.87,5569,173942.00000000003,17.34902314373372
2020-03-17,2020,Q1,Mar,P1005,Smartwatch,Accessories,West,304,350208,359789,214897.6,61806.35,83085.07,23.09,699,274,425,514.72,5886,83085.04999999999,23.092715452668088
2022-09-28,2022,Q3,Sep,P1005,Smartwatch,Accessories,East,725,654675,677574,475306.0,127657.5,74610.46,11.01,273,147,126,2481.96,4723,74610.5,11.011417203139436
2021-10-17,2021,Q4,Oct,P1004,Headphones,Accessories,North,370,545380,553334,330611.4,120982.0,101740.7,18.39,2506,1407,1099,220.8,2444,101740.59999999998,18.386833268875574
2022-05-04,2022,Q2,May,P1005,Smartwatch,Accessories,South,427,467565,485460,344392.1,86424.13,54643.78,11.26,865,360,505,561.23,1106,54643.77000000002,11.25608083055247
